stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,9.17,0,0,0,1.67,5.84,0.83
3dpf,0,0,0,0,0,10.34,0
5dpf,0.52,0.52,0.52,0.52,0,11.37,0
10dpf,0,0,0,0,0,0.63,0
