stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,10.32,0,0,0,0,0,0,0
12hpf,0,30.84,0,0,0,0,0,0,0
14hpf,3.34,40.13,0,0,0,0,0,3.34,0
16hpf,18.46,96.39,0,2.05,2.05,0,0,94.34,2.05
19hpf,4.38,28.46,0,4.38,0,0,0,2.19,0
24hpf,10,38,0,17,1,3,0,33,1
2dpf,39.2,20.02,3.34,35.87,13.35,46.71,0.83,22.52,5.84
3dpf,59.76,18.39,0.57,13.79,1.72,116.08,0.57,8.05,1.15
5dpf,5.17,50.13,4.13,84.76,3.1,75.97,0.52,10.34,11.37
10dpf,20.71,45.18,1.88,53.34,0.63,53.34,0,6.28,0.63
