stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
16hpf,2.05,0,0,0,0,0,0,0
2dpf,6.67,0,0,0,5,6.67,0,0.83
3dpf,45.4,0,0,0.57,6.9,2.3,0,0.57
5dpf,70.81,1.03,0.52,0.52,5.17,3.1,0.52,0
10dpf,25.73,3.14,0.63,0,3.14,5.02,0,0
