stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,1.67,0.83,0,0,0,0
3dpf,0,1.15,0,1.15,0,0
5dpf,0,5.17,0.52,0.52,0,0.52
10dpf,0,3.77,0,0.63,0.63,0
