stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32,0
12hpf,0,0,0,1.93,3.86,0,0,0,15.42,0
14hpf,10.03,0,0,0,46.81,33.44,16.72,0,40.13,3.34
16hpf,14.36,0,0,2.05,41.02,30.76,36.91,0,16.41,8.2
19hpf,10.95,0,0,6.57,10.95,10.95,21.89,0,4.38,0
24hpf,4,0,0,21,17,18,8,0,3,0
2dpf,160.98,0.83,2.5,139.29,171.82,272.74,9.17,1.67,53.38,8.34
3dpf,293.07,1.72,1.72,62.64,21.84,628.09,15.52,0,10.92,4.6
5dpf,208.8,9.3,8.79,218.1,24.29,492.54,18.09,5.17,19.12,27.39
10dpf,225.28,1.88,9.41,140.57,14.43,370.24,15.06,0,11.3,3.77
