stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,4.17,0,0,1.67,0.83,0
3dpf,29.88,0,0,0,0.57,1.15
5dpf,9.3,0,1.03,0,4.65,1.03
10dpf,36.4,0.63,1.26,0,0,0
