stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,41.29,0,0,0,0,0,0,0,10.32
12hpf,90.6,9.64,0,0,17.35,3.86,0,23.13,30.84
14hpf,13.38,0,0,3.34,0,0,0,0,0
16hpf,18.46,2.05,2.05,4.1,4.1,0,0,10.25,4.1
19hpf,17.51,0,0,2.19,0,0,0,2.19,0
24hpf,13,0,1,0,1,0,0,2,0
2dpf,99.26,1.67,5,3.34,26.69,45.04,4.17,14.18,9.17
3dpf,190.78,0.57,1.72,4.6,2.3,37.35,1.72,1.15,1.72
5dpf,21.71,0,4.65,5.17,2.07,27.39,3.1,4.13,17.57
10dpf,44.55,2.51,3.77,1.88,2.51,28.87,1.88,7.53,3.14
