stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,0.83,0,0
3dpf,10.34,0,0,1.15,0,0,0,0
5dpf,2.58,1.03,0.52,8.27,1.03,0,0.52,1.03
10dpf,16.94,0.63,0,0,0,0,0.63,0
