stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,3.86,0,0,0,0,0,0,0,0
14hpf,16.72,0,0,0,0,0,0,0,0
16hpf,4.1,0,2.05,0,0,0,0,0,0
19hpf,6.57,0,2.19,0,0,0,0,0,0
24hpf,5,0,0,0,1,0,0,1,1
2dpf,102.59,0,4.17,25.02,41.7,7.51,0.83,15.85,11.68
3dpf,91.37,0.57,0.57,1.15,18.39,0.57,0,0.57,0.57
5dpf,38.76,1.03,4.65,4.13,36.18,2.58,2.07,7.24,7.24
10dpf,40.79,1.88,2.51,0.63,17.57,0.63,0,1.26,0.63
