stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,123.88,0,10.32,0,82.58,0,154.84,2126.53,10.32
12hpf,13.49,0,0,1.93,0,0,26.99,1125.81,3.86
14hpf,3.34,0,3.34,3.34,0,0,30.09,1150.29,3.34
16hpf,10.25,0,2.05,0,0,0,12.3,486.04,4.1
19hpf,0,0,0,0,0,0,15.32,280.22,0
24hpf,0,0,0,1,0,0,0,59,1
2dpf,4.17,0,0,0,1.67,5,0,0.83,0
3dpf,16.66,1.15,1.15,0,0,10.92,0,0,0
5dpf,0.52,0,0.52,0,0,2.07,4.13,1.03,0.52
10dpf,3.14,0,0,0,0,1.88,0,0,0
