,orig_gene,proc_gene
0,,
1,ABCF3,ABCF3
2,ACSF3,ACSF3
3,ACTC1,ACTC1
4,ADAM12,ADAM12
5,ADAMTSL4,ADAMTSL4
6,ADGRL3,ADGRL3
7,AGBL1,AGBL1
8,AKAP13,AKAP13
9,AL590149.1,AL590149.1
10,AL590150.2,AL590150.2
11,AL627305.3,AL627305.3
12,AL645792.2,AL645792.2
13,AL772300.1,AL772300.1
14,AL772382.1,AL772382.1
15,AL773558.1,AL773558.1
16,AL808129.1,AL808129.1
17,AL808129.2,AL808129.2
18,AL840638.1,AL840638.1
19,AL840638.2,AL840638.2
20,AL844186.1,AL844186.1
21,AL845320.1,AL845320.1
22,AL845324.1,AL845324.1
23,AL845362.1,AL845362.1
24,AL845550.1,AL845550.1
25,AL928685.2,AL928685.2
26,AL928685.4,AL928685.4
27,AL928824.1,AL928824.1
28,AL928901.1,AL928901.1
29,AL928908.2,AL928908.2
30,AL929017.1,AL929017.1
31,AL929017.2,AL929017.2
32,AL929028.1,AL929028.1
33,AL929057.1,AL929057.1
34,AL929222.2,AL929222.2
35,AL929243.1,AL929243.1
36,AL929334.1,AL929334.1
37,AL929435.1,AL929435.1
38,AL929576.1,AL929576.1
39,AL935126.1,AL935126.1
40,AL935153.1,AL935153.1
41,AL935166.1,AL935166.1
42,AL935174.4,AL935174.4
43,AL935186.10,AL935186.10
44,AL935186.9,AL935186.9
45,AL935210.1,AL935210.1
46,AL953865.1,AL953865.1
47,AL954134.2,AL954134.2
48,AL954322.2,AL954322.2
49,AL954359.2,AL954359.2
50,AL954696.1,AL954696.1
51,AL954741.4,AL954741.4
52,AL954861.2,AL954861.2
53,ANKRD50,ANKRD50
54,ANPEP,ANPEP
55,AP3B1,AP3B1
56,AREL1,AREL1
57,ARFGAP1,ARFGAP1
58,ARHGEF17,ARHGEF17
59,ASS1,ASS1
60,ASTE1,ASTE1
61,ATG14,ATG14
62,ATG2A,ATG2A
63,ATP11B,ATP11B
64,ATP5MD,ATP5MD
65,ATP8A1,ATP8A1
66,ATP9A,ATP9A
67,AXL,AXL
68,BX000524.1,BX000524.1
69,BX000701.1,BX000701.1
70,BX000703.1,BX000703.1
71,BX001014.2,BX001014.2
72,BX001023.2,BX001023.2
73,BX001026.1,BX001026.1
74,BX001030.1,BX001030.1
75,BX004823.1,BX004823.1
76,BX004991.1,BX004991.1
77,BX004999.1,BX004999.1
78,BX005003.1,BX005003.1
79,BX005022.1,BX005022.1
80,BX005065.1,BX005065.1
81,BX005082.1,BX005082.1
82,BX005085.1,BX005085.1
83,BX005085.4,BX005085.4
84,BX005085.5,BX005085.5
85,BX005085.6,BX005085.6
86,BX005085.7,BX005085.7
87,BX005129.1,BX005129.1
88,BX005228.1,BX005228.1
89,BX005234.1,BX005234.1
90,BX005245.1,BX005245.1
91,BX005254.1,BX005254.1
92,BX005254.3,BX005254.3
93,BX005254.4,BX005254.4
94,BX005286.1,BX005286.1
95,BX005309.1,BX005309.1
96,BX005340.1,BX005340.1
97,BX005367.2,BX005367.2
98,BX005380.2,BX005380.2
99,BX005392.3,BX005392.3
100,BX005396.3,BX005396.3
101,BX005421.3,BX005421.3
102,BX005450.1,BX005450.1
103,BX005454.1,BX005454.1
104,BX005461.3,BX005461.3
105,BX072576.2,BX072576.2
106,BX072577.1,BX072577.1
107,BX085193.2,BX085193.2
108,BX088538.1,BX088538.1
109,BX088544.1,BX088544.1
110,BX088596.1,BX088596.1
111,BX088688.1,BX088688.1
112,BX088707.1,BX088707.1
113,BX088713.1,BX088713.1
114,BX088718.1,BX088718.1
115,BX119963.2,BX119963.2
116,BX120005.1,BX120005.1
117,BX248108.1,BX248108.1
118,BX248128.1,BX248128.1
119,BX248318.1,BX248318.1
120,BX248324.1,BX248324.1
121,BX248395.1,BX248395.1
122,BX248418.2,BX248418.2
123,BX248497.1,BX248497.1
124,BX248501.1,BX248501.1
125,BX248510.1,BX248510.1
126,BX248511.1,BX248511.1
127,BX248515.1,BX248515.1
128,BX248521.2,BX248521.2
129,BX255967.1,BX255967.1
130,BX276101.1,BX276101.1
131,BX284635.1,BX284635.1
132,BX284638.1,BX284638.1
133,BX284666.1,BX284666.1
134,BX293993.1,BX293993.1
135,BX294178.1,BX294178.1
136,BX294178.2,BX294178.2
137,BX294189.1,BX294189.1
138,BX294379.1,BX294379.1
139,BX294434.1,BX294434.1
140,BX296551.1,BX296551.1
141,BX322530.1,BX322530.1
142,BX322603.1,BX322603.1
143,BX322618.1,BX322618.1
144,BX322622.1,BX322622.1
145,BX322657.2,BX322657.2
146,BX322657.3,BX322657.3
147,BX322661.2,BX322661.2
