orig_gene,proc_gene
ptpn12,ptpn12
phtf2,phtf2
phtf2-1,phtf2-1
CU856344.1,CU856344.1
si:zfos-932h1.3,sizfos932h1.3
mansc1,mansc1
lrp6,lrp6
dusp16,dusp16
crebl2,crebl2
gpr19,gpr19
tbk1,tbk1
eps8a,eps8a
ptpro,ptpro
ptpro-1,ptpro-1
RERG,RERG
si:ch73-252i11.1,sich73252i11.1
CABZ01085275.1,CABZ01085275.1
echdc3,echdc3
FO834823.1,FO834823.1
msgn1,msgn1
si:ch211-51e12.7,sich21151e12.7
mrps10,mrps10
tulp4a,tulp4a
tmem181,tmem181
dynlt1,dynlt1
rpl18a,rpl18a
BX890562.1,BX890562.1
BX890562.3,BX890562.3
BX890562.2,BX890562.2
pthlha,pthlha
xpot,xpot
rtcb,rtcb
CU855889.1,CU855889.1
fbxo7,fbxo7
CU855889.2,CU855889.2
ost4,ost4
agbl5,agbl5
tmem214,tmem214
mapre3b,mapre3b
dpysl5b,dpysl5b
sobpb,sobpb
si:ch211-152c2.3,sich211152c2.3
crybg1b,crybg1b
mrap2b,mrap2b
ripply2,ripply2
sim1b,sim1b
atp23,atp23
rpap3,rpap3
naga,naga
FAM180A,FAM180A
mtpn,mtpn
si:ch211-117i20.2,sich211117i20.2
chrm2a,chrm2a
ptn,ptn
CABZ01068469.1,CABZ01068469.1
trim35-14,trim35-14
zmp:0000000711,zmp0000000711
slc38a4,slc38a4
AL929171.1,AL929171.1
slc38a2,slc38a2
scaf11,scaf11
arid2,arid2
CR847994.1,CR847994.1
gas2l3,gas2l3
fgfr1op2,fgfr1op2
tm7sf3,tm7sf3
med21,med21
pmpcb,pmpcb
dnajc2,dnajc2
nudt4b,nudt4b
ube2nb,ube2nb
mrpl42,mrpl42
pwp1,pwp1
CU571163.1,CU571163.1
ano6,ano6
si:ch73-177h5.2,sich73177h5.2
CU467633.3,CU467633.3
CU467633.1,CU467633.1
FAR2,FAR2
cpsf6,cpsf6
yeats4,yeats4
kcnc2,kcnc2
frs2a,frs2a
si:ch73-278m9.1,sich73278m9.1
cmah,cmah
glipr1a,glipr1a
krr1,krr1
si:ch73-89b15.3,sich7389b15.3
phlda1,phlda1
nap1l1,nap1l1
OSBPL8,OSBPL8
zdhhc17,zdhhc17
csrp2,csrp2
e2f7,e2f7
cog5,cog5
BX072538.1,BX072538.1
gpr22a,gpr22a
dus4l,dus4l
bcap29,bcap29
slco1c1,slco1c1
pde3a,pde3a
aebp2,aebp2
plekha5,plekha5
CABZ01085700.1,CABZ01085700.1
fgd4b,fgd4b
pik3cg,pik3cg
nampta,nampta
sypl1,sypl1
CU928083.1,CU928083.1
atxn7l1,atxn7l1
CU928073.1,CU928073.1
znf800b,znf800b
grm8a,grm8a
si:dkey-61f9.1,sidkey61f9.1
si:dkey-61f9.1-1,sidkey61f9.1-1
gpr37b,gpr37b
waslb,waslb
lmod2b,lmod2b
asb15b,asb15b
CT009596.1,CT009596.1
CR293509.1,CR293509.1
smkr1,smkr1
cd9b,cd9b
ano2b,ano2b
CU468826.1,CU468826.1
CU468826.3,CU468826.3
ntf3,ntf3
tbc1d30,tbc1d30
gnsa,gnsa
FP102892.1,FP102892.1
zgc:194209,zgc194209
rassf3,rassf3
CABZ01020840.1,CABZ01020840.1
DGKI,DGKI
creb3l2,creb3l2
ssbp1,ssbp1
si:ch211-258f14.2,sich211258f14.2
zgc:162331,zgc162331
slc13a4,slc13a4
coa6,coa6
ptprz1b,ptprz1b
ndufa5,ndufa5
CU468917.1,CU468917.1
CU468915.1,CU468915.1
strip2,strip2
ahcyl2b,ahcyl2b
tmem209,tmem209
ccnd2b,ccnd2b
tigarb,tigarb
fgf6b,fgf6b
fgf23,fgf23
rad51ap1,rad51ap1
galnt8b.1,galnt8b.1
galnt8b.2,galnt8b.2
ada2b,ada2b
atp6v1e1b,atp6v1e1b
si:ch211-214j24.14,sich211214j24.14
ccdc167,ccdc167
snap91b,snap91b
si:ch211-214j24.15,sich211214j24.15
si:ch211-214j24.10,sich211214j24.10
osgep,osgep
apex1,apex1
zgc:113263,zgc113263
si:dkey-14d8.1,sidkey14d8.1
selenoo2,selenoo2
si:dkey-14d8.20,sidkey14d8.20
BX324164.1,BX324164.1
BX324164.4,BX324164.4
BX324164.2,BX324164.2
si:dkey-14d8.22,sidkey14d8.22
BX324164.3,BX324164.3
mapk11,mapk11
mapk12b,mapk12b
si:dkey-14d8.6,sidkey14d8.6
si:dkey-14d8.7,sidkey14d8.7
vegfab,vegfab
mrps18a,mrps18a
rsph9,rsph9
