X,orig_gene,proc_gene
1,a1cf,a1cf
2,a2ml,a2ml
3,aaas,aaas
4,aacs,aacs
5,aadac,aadac
6,aadacl4,aadacl4
7,aadat,aadat
8,aagab,aagab
9,aak1a,aak1a
10,aak1b,aak1b
11,aamdc,aamdc
12,aamp,aamp
13,aanat1,aanat1
14,aar2,aar2
15,aars,aars
16,aars2,aars2
17,aarsd1,aarsd1
18,aasdh,aasdh
19,aasdhppt,aasdhppt
20,aass,aass
21,aatf,aatf
22,aatka,aatka
23,aatkb,aatkb
24,abat,abat
25,abca12,abca12
26,abca1a,abca1a
27,abca1b,abca1b
28,abca2,abca2
29,abca3b,abca3b
30,abca4b,abca4b
31,abca5,abca5
32,abcb10,abcb10
33,abcb11a,abcb11a
34,abcb11b,abcb11b
35,abcb4,abcb4
36,abcb5,abcb5
37,abcb6a,abcb6a
38,abcb6b,abcb6b
39,abcb7,abcb7
40,abcb8,abcb8
41,abcb9,abcb9
42,abcc1,abcc1
43,abcc10,abcc10
44,abcc12,abcc12
45,abcc13,abcc13
46,abcc2,abcc2
47,abcc3,abcc3
48,abcc4,abcc4
49,abcc5,abcc5
50,abcc6a,abcc6a
51,abcc6b.2,abcc6b.2
52,abcc8,abcc8
53,abcc8b,abcc8b
54,abcc9,abcc9
55,abcd1,abcd1
56,abcd2,abcd2
58,abcd3a,abcd3a
59,abcd3b,abcd3b
60,abcd4,abcd4
61,abce1,abce1
62,abcf1,abcf1
63,abcf2a,abcf2a
64,abcf2b,abcf2b
65,abcf3,abcf3
66,abcg1,abcg1
67,abcg2a,abcg2a
68,abcg2b,abcg2b
69,abcg2c,abcg2c
70,abcg4a,abcg4a
71,abcg4b,abcg4b
72,abcg5,abcg5
73,abcg8,abcg8
74,abch1,abch1
75,abhd10a,abhd10a
76,abhd10b,abhd10b
77,abhd11,abhd11
78,abhd12,abhd12
79,abhd13,abhd13
80,abhd14a,abhd14a
81,abhd14b,abhd14b
82,abhd15a,abhd15a
83,abhd16a,abhd16a
84,abhd17aa,abhd17aa
85,abhd17ab,abhd17ab
86,abhd17b,abhd17b
87,abhd17c,abhd17c
88,abhd18,abhd18
89,abhd2a,abhd2a
90,abhd2b,abhd2b
91,abhd3,abhd3
92,abhd4,abhd4
93,abhd6b,abhd6b
94,abhd8a,abhd8a
95,abhd8b,abhd8b
96,abi1a,abi1a
97,abi1b,abi1b
98,abi2a,abi2a
99,abi2b,abi2b
100,abi3a,abi3a
101,abi3b,abi3b
102,abi3bpb,abi3bpb
103,abl1,abl1
104,abl2,abl2
105,ablim1a,ablim1a
106,ablim1b,ablim1b
107,ablim2,ablim2
108,ablim3,ablim3
109,abo,abo
110,abr,abr
111,abraa,abraa
112,abrab,abrab
113,abracl,abracl
114,abraxas1,abraxas1
115,abraxas2,abraxas2
116,abt1,abt1
117,abtb1,abtb1
118,abtb2a,abtb2a
119,abtb2b,abtb2b
120,acaa1,acaa1
121,acaa2,acaa2
122,acaca,acaca
123,acacb,acacb
124,acad11,acad11
125,acad8,acad8
126,acad9,acad9
127,acadl,acadl
128,acadm,acadm
129,acads,acads
130,acadsb,acadsb
131,acadvl,acadvl
132,acana,acana
133,acanb,acanb
134,acap1,acap1
135,acap2,acap2
136,acap3a,acap3a
137,acap3b,acap3b
138,acat1,acat1
139,acat2,acat2
140,acbd3,acbd3
141,acbd4,acbd4
142,acbd5a,acbd5a
143,acbd5b,acbd5b
144,acbd6,acbd6
145,acbd7,acbd7
146,accs,accs
147,acd,acd
148,ace2,ace2
149,acer1,acer1
150,acer2,acer2
151,acer3,acer3
152,ache,ache
153,acin1a,acin1a
154,acin1b,acin1b
155,ACKR2,ACKR2
156,ackr3a,ackr3a
157,ackr3b,ackr3b
158,ackr4a,ackr4a
159,ackr4b,ackr4b
160,aclya,aclya
161,aclyb,aclyb
162,acmsd,acmsd
163,aco1,aco1
164,aco2,aco2
165,acot11a,acot11a
166,acot11b,acot11b
167,ACOT12,ACOT12
168,acot13,acot13
