,orig_gene,proc_gene
0,,
1,ptpn12,ptpn12
2,phtf2,phtf2
3,phtf2-1,phtf2-1
4,CU856344.1,CU856344.1
5,si:zfos-932h1.3,sizfos932h1.3
6,mansc1,mansc1
7,lrp6,lrp6
8,dusp16,dusp16
9,crebl2,crebl2
10,gpr19,gpr19
11,tbk1,tbk1
12,eps8a,eps8a
13,ptpro,ptpro
14,ptpro-1,ptpro-1
15,RERG,RERG
16,si:ch73-252i11.1,sich73252i11.1
17,CABZ01085275.1,CABZ01085275.1
18,echdc3,echdc3
19,FO834823.1,FO834823.1
20,msgn1,msgn1
21,si:ch211-51e12.7,sich21151e12.7
22,mrps10,mrps10
23,tulp4a,tulp4a
24,tmem181,tmem181
25,dynlt1,dynlt1
26,rpl18a,rpl18a
27,BX890562.1,BX890562.1
28,BX890562.3,BX890562.3
29,BX890562.2,BX890562.2
30,BX890562.4,BX890562.4
31,AL845512.1,AL845512.1
32,pthlha,pthlha
33,xpot,xpot
34,rtcb,rtcb
35,CU855889.1,CU855889.1
36,fbxo7,fbxo7
37,CU855889.2,CU855889.2
38,ost4,ost4
39,agbl5,agbl5
40,tmem214,tmem214
41,mapre3b,mapre3b
42,dpysl5b,dpysl5b
43,sobpb,sobpb
44,si:ch211-152c2.3,sich211152c2.3
45,crybg1b,crybg1b
46,BX649468.1,BX649468.1
47,mrap2b,mrap2b
48,ripply2,ripply2
49,sim1b,sim1b
50,atp23,atp23
51,rpap3,rpap3
52,naga,naga
53,FAM180A,FAM180A
54,mtpn,mtpn
55,si:ch211-117i20.2,sich211117i20.2
56,chrm2a,chrm2a
57,CR548631.1,CR548631.1
58,ptn,ptn
59,CABZ01068469.1,CABZ01068469.1
60,trim35-14,trim35-14
61,zmp:0000000711,zmp0000000711
62,slc38a4,slc38a4
63,AL929171.1,AL929171.1
64,slc38a2,slc38a2
65,scaf11,scaf11
66,arid2,arid2
67,CR847994.1,CR847994.1
68,gas2l3,gas2l3
69,fgfr1op2,fgfr1op2
70,tm7sf3,tm7sf3
71,med21,med21
72,pmpcb,pmpcb
73,dnajc2,dnajc2
74,nudt4b,nudt4b
75,ube2nb,ube2nb
76,mrpl42,mrpl42
77,pwp1,pwp1
78,CU571163.1,CU571163.1
79,ano6,ano6
80,si:ch73-177h5.2,sich73177h5.2
81,CU467633.3,CU467633.3
82,CU467633.2,CU467633.2
83,CU467633.1,CU467633.1
84,FAR2,FAR2
85,cpsf6,cpsf6
86,yeats4,yeats4
87,kcnc2,kcnc2
88,frs2a,frs2a
89,si:ch73-278m9.1,sich73278m9.1
90,cmah,cmah
91,glipr1a,glipr1a
92,krr1,krr1
93,si:ch73-89b15.3,sich7389b15.3
94,phlda1,phlda1
95,nap1l1,nap1l1
96,OSBPL8,OSBPL8
97,zdhhc17,zdhhc17
98,csrp2,csrp2
99,e2f7,e2f7
100,cog5,cog5
101,BX072538.1,BX072538.1
102,gpr22a,gpr22a
103,dus4l,dus4l
