stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,0.74,0.37,0,0,0,0,0,0.37,0,0.74,0.74,0,1.11,0.37,0,0,0,0,0,0.74,0.37,0,0,0,0,0,0,0.37
3Month,0,0.31,0.73,8.43,0,0.31,0.1,1.77,0.21,0,2.39,0.73,0.52,19.76,0.21,1.46,0.42,0.62,0.52,0,0.31,0.73,0.21,0,0.1,0.52,0.94,0.1,0.1,0.83,7.49
22Month,0,0.68,1.5,1.37,0,0.41,0,0.96,0.14,0.68,9.16,0.41,0.55,19.54,0,0.27,0.82,0.82,0.14,0.27,0.82,0.14,0,0,0,0.27,0.14,0,0.14,0,6.29
