stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0.56,0,0.56,0,0,0,0,0,0.85,0.28,1.13,0,0,42.28,1.41,1.13,0,0,0,0.28,0
21Day,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,18.13,0,1.48,0,0.74,0,0.37,0.37
3Month,0,0,0,0,0.1,0.42,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0
22Month,0,0,0,0,0,0.96,0.14,0.14,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0
