stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,13,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,1.69,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,1.41,2.25,0,0,0,0,0.28,0.28,0.28,0,0,0
21Day,0,0,0,1.48,3.33,0,0,0,0.37,0,0,0,0,1.11,0,0,0.37,1.11,0,0,0,0,0,1.48,0.37,0,0,0,0.37,0,0.74,0,0,0,0
3Month,0.21,0.21,0.31,7.8,0.52,0.42,0.1,0.62,1.35,0,0,8.84,9.99,0.31,1.77,0.62,2.81,4.26,1.25,0.31,0,0.21,0.42,0,0.1,0,0,0.21,0.73,23.2,0,0.1,0.62,94.03,1.46
22Month,0,0.41,0.14,3.83,0.41,0.14,0,0.14,3.28,0.27,0,22.68,0.96,0.27,2.32,0,0.96,3.55,1.91,0,0.96,0.27,0,0.27,0,0.82,0.14,0.14,0.14,8.06,0,0,0,0.68,0.96
