stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,2,0
72hpf,0.28,0,0,1.13,0.28,0
21Day,0.37,0.37,0,1.48,0,0
3Month,0.1,0.1,0,0,0,0.1
22Month,0,1.37,0.14,0,0,0
