stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,15,0,0,0,0,0,0,0,2,15,0,1,0,0,0,10,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,6.2,0,0,0,0,0,0,0.28,2.82,22.27,0,2.25,0,0,1.69,1.69,0,0.56,0,0,0,0,0
21Day,0.37,0,0,27.01,0.37,0,0,0,0,0.37,0,0,7.03,0,0.74,0.37,0,1.11,0.74,0,2.22,0.37,0,0,0,0
3Month,0,0,0,15.6,0,0.31,0,0.83,0.21,0,0.21,0.52,2.08,0.21,0.31,0.1,0.1,0,0,0.1,0.1,0.21,0.31,0.1,0.31,0.1
22Month,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
