stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0,0,0,0,0,0,1.41,0,0.56,0,0.56,0,0,0,0.28,0
21Day,2.22,1.11,0,0,0,0,0.37,0,0,1.48,0.37,0,0,0,0,0.37,0.37,0,0
3Month,0,0.31,0.21,0.73,0.21,0.1,0,0.1,0.1,0,0,1.04,0,0,0,0.1,0,0,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0.68,0.27,0,0.14,0.27,0,0,0
