stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,1,1,0,0,0,0,0,0,0,1,7,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0.28,0,0,0
21Day,1.11,0.37,0,0,0,0,0.37,0,1.11,0,0.37,0.37,0.74,0.37,0.37
3Month,0,0.1,0,0,0.73,0.1,0.1,0,0,0,0,0,0,0,0
22Month,0,0.27,0,0.14,0.68,0,0.14,0.27,0.14,0,0,0,0,0,0
