stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0
3Month,0.1,0.1,0.1,0.1,0.1,0,0.1,0.31
