stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0.37,0,0,1.11,0.74,0,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.31,3.12,0.1,0.31,0.1,2.5,0.31,0,0.31,0.21,0.21,1.25,0.94,1.35,0.21,0,0.1,0,0.1,0.42,0.21,0.1,0.42
22Month,0.14,0.82,0.14,0.27,0.55,1.64,0,0,0.14,0,0.14,0.41,0.41,0,0.14,0,0,0.41,0,0.14,0,0,0
