stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,1.41,0.28,0.56,0,0,0,33.82,5.07,0,0.85,0,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0,0.37,1.85,0.37,1.85,0,0,0,0,0,1.85,0,0.37,0.74,1.11,0,0,0,17.76,2.22,0.37,1.11,0.74,0,1.85,0.37,0.74,0,0,0,0.74
3Month,0,0.21,0,1.46,0,0,0.1,0.83,0,0.73,0.21,0,0.21,0.21,0.31,0.21,0.1,0,0.1,0.31,0.1,0.1,0,0.21,0.83,0,0,0,0,0.73,1.25,0.31
22Month,0,0,0,0.82,0,0,0.14,0.82,0.41,3.01,0,0.27,0.27,0,1.5,0.14,0,0.14,0,0.14,0,0.14,0,0,0.27,0,0,0,0,0,0,0.27
