stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.82,0.28,0,0,0,0,1.41,1.41,0,0
21Day,0.37,0.74,0.37,1.11,0,0,0,0.37,0.37,0,0.74,0,1.48,1.11,0,15.54,0.74,0,0,0,0.74,10.73,45.14,0,0
3Month,0,1.56,0,0,0.31,0.21,1.04,0,0.73,0.1,0.31,0.42,0.52,0.1,0.21,0.1,0,0,0.21,6.97,0,0,0,5.41,0.21
22Month,0,0,0,0,0.27,0.27,0.41,0,0.14,0,0,2.73,0.14,0,0,0,0,0.14,0,0.55,0,0,0,0,0.14
