stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.23,0.85,0,3.95,0.28,0.28,0,0,0,0,0,0,0,0,0,2.54,21.7,0.85,3.38,0,0,0,25.93,16.91,0,0,3.38,0,0,1.13,0,0,0,0,0,0
21Day,10.36,0,0.37,14.43,1.11,1.85,0.37,0,0,0,0,0,0,1.48,0.74,1.11,9.25,3.7,11.47,0,0.37,1.11,42.18,14.8,0.37,0,3.33,3.33,0,0,0.74,0.74,0,0,0,0
3Month,0,0.42,0.21,14.04,0,0,0,0.1,1.35,0,0,3.22,0.94,0,0.83,0.73,4.06,3.64,1.14,0.21,0,0.31,1.04,0.31,0.1,0,0,0.31,1.46,0,0,0,0.1,0.21,0.42,0.83
22Month,0,0.27,0.14,3.69,0,0,0.14,0.14,0.82,2.32,0,28.83,0.27,0.41,0.68,0.14,0.55,1.09,1.23,0,0.14,0.14,0.41,0.14,0,0.14,0,0,0.27,0.14,0.27,0,0,0,0,0.14
