stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,3,0,1,0,0,0,4,63,2,1,1,4,0,0,0,0,0
72hpf,0.28,0.28,5.92,0,0,0,0,0,0,76.38,0,0.56,5.64,2.82,0.85,0,0,0.28,0
21Day,0.74,0,18.5,0.37,0,0,0,0,0,63.64,0,1.11,0.37,1.11,0.37,0,0,0.37,0.37
3Month,0,0,5.72,0,0,0.42,0.1,0.31,0.1,0.21,0.31,0,0,0,0,0.1,0.21,0,0
22Month,0,0,0,0,0.14,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0
