stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0.28,1.13,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,71.03,0,0,0.28,9.58,4.79,0,7.89,61.72,0,0,1.69,0,0,1.41,0,0
21Day,1.48,0,0,6.66,2.22,0,0.74,0.37,0,0,0,0.37,0,1.11,2.59,0,1.11,1.48,162.79,0,0,10.73,5.92,2.96,0,3.7,27.01,3.7,0,2.59,0.37,1.11,0,0,0.37
3Month,0.1,1.66,0.1,3.85,0,0.1,0,0.1,0.42,1.66,0,1.77,0.73,0,0.52,0.1,0.52,0.31,29.23,12.38,0,1.35,0.21,0.31,0,3.95,4.58,0,0.42,0,0,0,1.98,0.31,0.42
22Month,0.14,1.64,0,1.78,0,0.55,0,0.14,0.55,1.91,0.27,6.42,0.68,0.14,0.55,0,0.14,0.41,48.1,1.78,0.41,0.96,0.41,0.41,0.41,6.29,0.82,0.14,0.68,0.14,0,0,0.82,0,0.14
