stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,1.13,1.13,0,0,0,0,0,0,0,0
21Day,0.37,0.74,1.85,1.11,0,0.37,0,0,0,0.37,0,1.11,0.37,0.74,0,0,0,0,0,2.59,0,0,0.37,0,0,0,0,0,0
3Month,0,0.62,8.63,0,0.21,0,2.18,0.21,1.14,0.31,0,11.96,0.31,3.74,0.1,0.1,0,0,0.52,0.21,0,0.94,0.1,0.1,0.52,0.1,0.21,0.1,0.42
22Month,0,0.55,1.5,0.14,0.27,0,0.55,0.27,17.76,0.27,0.14,7.24,0,0.14,0.14,0.68,0.41,0.14,0.14,0,0.14,0.68,0,0.14,0.14,0,0.14,0,0
