stage,Enterocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,T_cell
21Day,0,0.74,0,0.37,0.37,0
3Month,0,0,0.31,0,0,0
22Month,0.14,0,2.46,0,0,0.14
