stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.85,0.85,0,0,0,0,0,0,0,0,0.28,3.38,0.28,1.97,0,0,0,0,2.54,2.54,0,0,0.85,0,0,0.28,0,0,0,0
21Day,0.74,0,0.37,8.88,0.37,4.44,2.22,0,0,0,0,0,2.59,0.37,0,3.33,1.11,10.73,0,0,1.11,0,6.29,2.22,0,0.37,3.33,0,0,0.37,0.74,1.85,0,0.37
3Month,0,0.1,0,1.35,0,0,0,0.31,0,0.1,0.83,0.1,0,0.94,0.1,0.83,0.31,0.21,0.1,0,0,0.1,0.21,0,0,0.1,0,0.1,0.31,0,0,0,0.31,0.52
22Month,0,0.27,0,0.27,0,0,0.14,0,0.82,0.27,4.24,0,0.14,1.5,0,0.14,0.68,0.41,0,0.55,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0,0,0.27
