stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,8.46,2.82,0.28,0.28,0.28,0,0,0.85,0,0,0,0
21Day,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0,3.33,0,0,0.37,0,10.73,1.11,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0.1,0.21,0.52,3.12,0.1,0,0.1,0.1,0.73,0,3.12,3.02,0,1.25,0.1,1.25,0.83,3.43,0.31,0,0.21,0.21,0.42,0,0.73,0,0,0.52,1.46,0.21,0.1,0.21,0.52,1.87
22Month,0,0.27,0,1.91,0,0,0.14,0,3.28,0.27,11.21,1.78,0.55,1.64,0,0.27,1.78,1.91,0.14,0.55,0,0,0.14,0.14,0.55,0.14,0,0,0.41,0.82,0,0,0,1.78
