stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell
24hpf,0,0,0,0,1,0,6,0,0,0,0
72hpf,0,0,0,0.28,0,0.56,1.41,0,0,0,0
21Day,0.37,0.37,0,0,1.48,0,0.37,0.37,0.74,0.37,0
3Month,0,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0.14,0,0.14,0,0,0,0,0,0,0,0
