stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,0
21Day,0,1.11,1.48,0,0.37,0,0,0,0,0,5.55,0,0.37,0,1.11,0,0,0.37,0,0.74,0.37,0.37,0,0.74,0,0,0,0,0,0
3Month,0.1,1.87,7.59,0.1,11.13,0.31,0,13.83,0.83,0.1,67.09,0.52,0.62,0.83,0.31,0,0.1,9.57,0.21,0.21,0,1.14,0,0.83,4.47,0,0.1,0.1,2.81,0.94
22Month,0,2.32,4.51,0.14,5.74,0.14,0.55,41.27,0.14,0,54.93,0.14,0,0.55,0.55,0.14,0.82,4.78,0,0,0,1.23,0,0,1.64,0.14,0,0,0,0.14
