stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
72hpf,0.85,0,0.56,0,0,0,0,0,0,0.56,1.13,0.85,2.54,1.97,0.56,0.28,0,0,0
21Day,1.11,0,1.11,0,0,0,0,0.74,0,0,0.74,1.48,1.48,0.74,0.37,0,0.37,0,1.11
3Month,0,0.1,0,0.21,0,0,0.1,0,0,0,0.21,0.1,0,0,0.1,0,0,0.21,0.1
22Month,0,0,0,0,0.27,2.32,0.41,0,0.27,0,0.14,0.14,0,0,0,0,0.14,0,0.14
