stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0.37,0,0,0,0,0
3Month,0,0.42,0.1,2.08,0.1,0.42,0,5.3,0.62,0.21,1.56,0.1,0,0.52,1.04,0.21,0,0.1,0.42,0,0.1,0,0,0.1,0.21,0.21,1.14,0.1
22Month,0,0,0.14,0.82,0,0.27,0.27,11.21,0.27,0.27,1.09,0,0.14,0.41,0.55,0,0.41,0,0,0,0.27,0.27,0,0,0,0,0,0.14
