stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,1.85,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,1.11,7.4,0,0,0,0,14.43,0,0,0,0,0.74,0,0,0.37,0,0,0,0,0.37
3Month,0.1,0.73,0.52,12.48,0.1,0,0,0.1,2.29,1.46,0.21,2.6,0.52,0.1,6.45,1.25,3.85,27.88,1.25,0,1.35,1.14,1.25,0,2.5,1.56,0.1,0.42,6.45,0.62,0.1,0.1,0.31,0.83,1.04,5.51
22Month,0,1.37,0.27,4.1,0.14,0,0.14,0,1.5,0.27,0.55,5.19,0.14,0.55,3.69,0,0.68,7.52,0.82,0.14,1.09,0.14,0.55,0,1.64,0.68,0,0,4.78,1.5,0.96,0,0,0.14,0.14,0.82
