stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,19,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,1.69,0,0,0,0.28,4.23,4.51,0,0,2.82,0,0,1.41,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0.37,0.37,0,0,0,2.22,0,0,0,0,3.33,0.74,0.37,0,3.33,0.74,0,0.37,0.74,0.74,0,0,0,0.37
3Month,0.1,0.73,4.99,0.1,4.06,0.62,0,27.46,0.83,0,8.43,0,1.04,0.1,3.33,0.83,0,0.42,2.39,0.1,0.1,1.14,0.62,0.62,0.73,1.04,0,0,0,0.1,0.1,0.31,0.52
22Month,0,0.82,3.69,0.14,1.37,0.41,6.56,50.83,0.14,0.14,5.74,0.14,0.14,0.68,2.6,0,1.09,0.55,0,0.14,0.14,1.09,0.41,0.82,0.14,0.96,0.27,0,0,0.14,0.41,0,0.41
