stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0.28,0,0.28,0,0,0.56,0.28,0.28,0,0,0
21Day,0,1.11,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,0.37,0
3Month,0,0.31,0.1,1.46,0.1,0,0.1,0.21,0.21,0,0.1,0.1,0,0,1.98,0,1.35
22Month,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.64,0,0
