stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,2,0,0
72hpf,0.28,0.28,0,0.28,8.17,0.28,0.28,0.28
21Day,0,0,0,0,1.11,0,0,0
22Month,0,0,0.27,0,0,0,0,0
