stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0,0,0,0
21Day,0.37,0.37,0,12.58,0.37,0,0,0,0,0,0,0,0,0.37,1.11,38.48,0,1.85,0,0,0,0.37,0.37,0,0.74,0.37,0,0.74,0,0,0
3Month,0,0.1,0.21,12.07,0,0.1,0.62,0.31,0,0,1.14,0.42,0,4.06,0.31,1.14,0.94,0,0,0.21,0.42,0.1,0,0,0,0.1,0.42,0,0.21,0.1,0.62
22Month,0,0.41,0.68,2.73,0,0,1.23,0.68,0.41,0,3.01,0.14,0.14,13.66,0.14,0.41,0.96,0.27,0.55,0.41,0.14,0,0,0.55,0,0,0.41,0,0.14,0,0.55
