stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage
21Day,0,0,0,0,0,0,0.37,0
3Month,0.1,5.1,0.21,0,0.1,0.1,1.87,0.1
22Month,0,4.37,0,0.14,0.82,0,2.19,0
