stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0.28,0.85,0,0.28,0,0.28,1.69,5.64,0.56,0,0,0.85,0,0,0
21Day,0.74,0,1.11,0.37,0.74,1.85,0,0,0,0,0.74,0,0,0,0,0.74,0,0,0.37,0,0.74,1.48,0.37,0.74,0,1.11,0,0,0
3Month,0,0,1.56,0.1,0,0,0.1,0.21,0.52,0.1,0.1,0.62,0.1,0.73,0.42,0.83,0.21,0,0.1,0,0,0,0,0.1,2.08,0,0.1,0.83,0.31
22Month,0,0.14,0.14,0,0,0,0,0.14,0.27,0,0,0.14,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0.41,0,0,0,0
