stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,2,0,36,0,1,0,0,0,0,0,0,0,0,0,4,29,1,43,0,0,0,36,293,0,0,0,13,0,0,0,0,0,1,0,0,0
72hpf,17.47,1.69,0,16.91,8.46,6.76,0,0,0,0,0,0,0,0.56,0,3.38,35.23,0.28,42,0,0.56,0.28,599.77,110.2,0.28,2.25,0,53.55,0,0.28,21.98,5.07,3.38,4.51,0,0,0
21Day,9.62,0,0,17.39,3.33,5.18,0,0,0,0,0,0.37,0,4.44,1.11,1.85,5.92,2.59,45.14,0,1.85,0,162.42,26.27,1.48,11.1,0,19.98,2.59,0,6.29,3.7,12.95,0.74,0,0,1.85
3Month,0.42,0.83,0,31.62,1.25,0,0.21,0.21,0.62,2.5,0,4.68,1.56,1.46,2.81,3.54,2.91,5.1,34.95,5.62,0.62,0.52,7.07,0.94,3.22,28.19,0,2.18,0.62,19.04,2.39,0.42,0,0.31,1.66,2.91,6.24
22Month,0,0.82,0.14,4.65,0.14,0,0,0,0.68,1.78,0.82,9.7,0.68,1.37,3.28,0.68,0.14,2.32,7.93,0.96,0.14,0,4.37,0.41,2.19,34.98,0.27,0.55,0.27,5.47,4.65,4.65,0,0.27,0.14,0.14,2.19
