stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,30,1,1,0,0,0,0,0,0,11,0,0,0,0,6,16,3,7,0,0,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,1.41,0.28,0,0,0,0,0,0,0,0.28,0,0,0,3.1,10.15,0,1.13,0,1.13,0,0,3.66,4.23,0,0,0.56,1.69,0,0.28,0.85,1.13,0,0,0
21Day,1.11,0,0.37,15.91,1.48,0.74,0,0.37,0,0,0,0,0,1.85,0,0,1.11,2.22,4.44,0.74,3.33,0,0,0,0,4.07,1.11,0,0,0.74,0.74,0.37,0.74,0.74,0.37,0,0,0
3Month,0.31,1.35,4.37,50.03,0.42,0,0.94,0,0.21,9.15,1.98,0,0,127,1.46,0.31,42.44,5.3,13.21,4.06,4.68,0.31,0.21,3.02,5.1,1.25,0.31,3.12,0.21,0.21,3.64,7.8,0.31,0,0,1.25,1.46,2.81
22Month,0.14,1.37,1.23,9.7,0.27,0,2.05,0.14,0.14,1.64,1.23,6.83,0,197.87,0.55,0.41,8.06,1.09,1.37,3.42,2.6,0.14,3.83,1.78,0,0.27,0,1.91,0.96,0.41,1.37,2.6,0.41,0,0,0.14,0,1.23
