stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,4,0,0,0,0,0,0,0,2,4,5,0,0,19,0,0,0,0,0,1,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,1.13,0.28,2.54,0,6.76,4.23,1.97,0.28,0.56,0.28,0.28,0.28,0
21Day,1.11,0.37,5.55,0.37,1.11,0.74,0,2.22,0.37,0.37,2.59,0.74,4.44,0.37,1.48,1.85,2.22,0.37,0.37,0,0.74,0,1.48
3Month,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
