stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,1,0,1,1,0,0,0,0,0,0,1,1,2,9,0,0,3,61,0,4,0,0,0,1
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0.85,0,1.97,0,0,2.25,5.36,0,1.13,0,0.28,0,0
21Day,1.11,0,0.74,0,0.37,0,0,0,0.37,0.37,0,0,0,2.59,0,0,1.48,5.18,0,1.48,0,0.37,0.37,0
3Month,0,0,0.1,0,0,0.1,0,0.31,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0.55,0,0,0,0.27,3.01,0.27,0.14,0,0.14,0.27,0.96,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14
