stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,3,0,0,0,2,0,2,0,2,0,0,0
72hpf,0.85,0.28,0,0,0.28,0.85,0,0,0,0,0,0.28,0
21Day,2.59,1.11,0,0.37,0,0.37,0,0.74,0,0.37,0,0.37,0
3Month,0,0.1,0.52,0,0,0,0.1,0,0.1,0,0,0,0
22Month,0,0,1.5,0,0.14,0,0.27,0,0,0.14,0.14,0,0.14
