stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37,0,0,0,1,29,0,0,1,0,0,0,0,0,0,0,0
72hpf,14.37,1.41,0,3.66,0.28,1.13,0,0,0,0,0,0,0,0,0,0,15.5,0.56,95.55,0,2.25,0.85,7.05,11.27,0,0.28,31.85,0,0,2.25,0,0.56,0,0,0
21Day,14.06,0.37,0,4.07,0,4.44,0,1.11,0,0,0.37,0,0,2.22,0,0,2.22,0.37,95.46,0.37,7.4,0,5.18,7.03,0,0,6.66,2.96,0,2.22,0.37,0.74,0,0,0
3Month,1.14,0.73,0.1,1.87,0,0,0.21,0,0,0.83,0.1,1.14,0.62,0.21,0.52,0.1,1.87,0.31,24.44,1.04,3.02,1.77,0.1,0.1,0.1,0.1,0.1,0.1,0.31,0,0,0,0,1.14,0.21
22Month,0.27,0.41,0.14,0.55,0,0,0,0,0.27,0.96,12.71,4.65,0,0,0.27,0,0.14,0.82,16.94,0.27,0.96,0.14,0,0.14,0,0.14,0.14,0,0.27,0.14,0,0,0.27,0.14,0.27
