stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,4.79,2.25,0,2.25,0,0,0.85,0,0,0
21Day,0.37,0,0.74,0.74,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0.37,0.37,0,2.59,0.37,0.37,0.74,0.37,0,0,0,0,1.11
3Month,0,0.1,0.31,0,0,0,0.21,0.21,0.62,0.1,0.1,0.21,0.1,0.42,0.21,0.21,0.1,0.1,0,0,0,0,0,0.1,0,0.21,0.21,0.52
22Month,0,0.14,0,0,0.14,0,0.14,0.14,1.64,0,0,0.55,0,0.14,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0
