stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Primordial_germ_cell
21Day,0,0,0,0.74,0
3Month,0,0.1,0,0,0.21
22Month,0.14,0,0.27,0,0
