stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0.37,0,0,2.22,8.51,0,0
3Month,0.1,0,0.42,0,0.1,0,0,0.1,0.1,0,0,0.52,0.1
22Month,0.14,0.14,1.09,0,0,0,0,0,0,0,0,0,0
