stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,72.15,1.48,0,0.37,0,0,0,0,0.37,0,0.37,1.48,0,0.37,0,0.37,2.96,1.11,0,0.37,0,0.74,0,0
3Month,21.01,0,0.1,0,0.1,0.31,0.83,0.42,0.1,0.62,0.1,8.63,0.21,0.21,0.21,0.1,0,0,0.1,0.1,0.21,0.1,0.21,0.1
22Month,0.27,0,0,0,0,0,0.14,0,0,0,0,0.55,0.14,0,0,0,0,0,0,0,0,0,0,0
