stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.54,0,0,0,0.28,0,0,0,0,0,0,0,19.17,0.56,0.28,0,0,0,0.28,0.85,0,0,0,9.58,0,0,0.28,0.28,0.28,0,0,0
21Day,0.37,0,0.37,12.58,0.37,0,0,1.48,0,0,0,0,0,0.37,0,0.74,1.85,0.37,0,0,0,1.11,0.37,0,0.37,0,3.7,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.21,15.5,0,0.21,0,29.96,1.04,0,2.5,0.94,0.52,1.56,0.52,0.62,11.03,1.56,0.42,0,0.21,0.1,0,0,0,0,9.47,0.42,22.57,0,0,0,0.1,16.54,1.14
22Month,0,0,0.27,2.87,0,0.41,0.14,6.83,4.78,0.14,4.51,1.64,0.27,0.82,0.27,0,20.91,0.55,0.14,0.14,0,0,0,0.14,0,0.96,7.52,0,3.83,0,0,0,0.27,0.14,0
