stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0.28,0.56,2.54,1.13,0,0,0,0,0,0,0,0,0.56,0,2.25,0.28,0,0,8.17,3.95,0,0,0,2.54,0,0.28,0.56,0,0,0,0,0
21Day,2.22,0,5.18,0.37,0.37,0,0,0,0.37,0,1.11,0.37,0.37,4.81,3.33,6.66,0,0.37,0,9.99,5.92,0,0.74,0,4.44,0.37,0.74,0,0.37,0,0,0,0
3Month,0,0,1.46,0.1,0,0.42,0.42,0,0.73,0.21,0,0.31,0,0.1,0.31,0.31,0,0,0.21,0.21,0.1,0.42,0,0,0,0.21,7.18,0,0,0.1,0.42,3.12,0.31
22Month,0,0.55,1.09,0,0,0.14,0.55,0.55,5.06,0,0.14,0.96,0,0.14,0.41,0.68,0,0.14,0,0.14,0,0,0,5.06,0,0,5.88,0,0,0,0,0,0.14
