stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Spermatocyte,T_cell
24hpf,1,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.56,1.13,0,0,0,8.74,1.97,0.28,0.56,0,0
21Day,5.18,0,0,0.37,3.33,0.37,1.11,0,6.66,0.37,0.37,0,0,0
3Month,0.62,0.42,0.1,0.1,0.21,0.1,0,0.21,0,0,0,0,0.1,0.1
22Month,0.14,0.41,0,0,0,0,0.14,0.14,0,0,0,0,0,0
