stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0
3Month,0.73,0,0.1,0.1,0,1.04,0,0.1,0.21,0.1,0.21,0,0.31,0,1.46,0.1,0.1
22Month,0,0.14,0,0.27,0.55,1.91,0.41,0,0,0.55,0,0.41,0,0,1.37,0.14,0
