stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,4,2,4,11,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0
72hpf,1.97,0.85,0,4.23,3.95,0,0.28,0,0,0.28,0,0,0,0,0,0,3.95,8.46,0.85,9.02,0,1.69,0,0,8.17,4.79,0.28,0,6.76,0.28,0,1.13,0,0.28,0,0,0
21Day,3.33,0.37,0.37,18.13,4.81,0,1.11,0,0.74,0.74,0.74,0,0,1.11,2.22,5.18,0,5.18,0.74,23.68,0,0,4.44,0,8.51,2.59,0.74,0.37,4.44,1.48,0.37,2.59,0.37,0,0,0,1.85
3Month,0.1,0.52,0.31,12.69,0,0.21,0.1,0.1,0.94,1.35,0,0,3.02,0.94,0.52,3.22,0.62,4.78,0.62,7.49,0.94,0,0.83,0.21,0.31,0.1,0.42,0.21,0.1,0.73,1.77,0.31,0,0.1,0.62,0.42,3.43
22Month,0,0.55,0.27,3.01,0,0.14,0.14,0,0.68,1.64,0.41,0,5.6,1.23,0.41,1.78,0,0.55,2.19,3.96,0,0.14,0.55,0.14,0.27,0,0.14,0,0.27,0,0.55,0.82,0,0,0.14,0,1.91
