stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0.37,0,0,1.11,0,0.37,0,0,0
3Month,0.52,0,0.21,0.21,0,0.31,0.21,0.21,0.1,0,1.66,0,0.1,0.94,0
22Month,0,0.14,1.78,0,0,0,0,0,0,0,0.27,0,0,0,0.14
