stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,1,0,0,0,0,3,0,0,0,1,1,4,6,0,0,2,33,0,0,0,0,0,0,0
72hpf,0,1.13,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,0,2.25,2.25,0.28,0,0,0.28,0.28,0,0
21Day,0.74,1.48,4.81,1.11,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0.37,0,0.37,0.74
3Month,0,0.21,0,0,0.1,0,0,3.02,0,0.42,0,0.1,0.1,0.1,0.1,0.21,0,0.1,0,0.21,0.21,0,0,0,0
22Month,0,0,0,0,0,0.14,0,0.96,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0
