stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0.37,1.11,0,1.11,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.21,0,2.91,0.1,0.31,0.1,2.39,0.83,1.98,0.31,0.52,0.94,1.56,0.1,0.1,0.1,0,0.21,0,0.21,0.1,0.31,1.14
22Month,0,0.14,0.27,0.14,0,0,0.27,1.37,0,0.68,0,0.14,0.27,0.68,0,0,0,0.14,0,0,0,0,0,0.14
