stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0.85,0,0.56,0.28,0,0,0,0,0,0,0
21Day,0,2.59,0,0,0,0,0,0,0,0,0,0.37,0,3.33,0.74,0,0.37,0.37,0.37,0.37,0.37,1.11
3Month,0.1,1.25,0,0,0.1,0,3.54,0.1,0.21,0.21,0.1,0,0.1,0,0,0,0,0.83,0,0,0,0.21
22Month,0.14,0.55,0,0.14,0.27,0.27,23.37,0.41,0.27,0,0.14,0.27,1.09,0.14,0,0.14,0.14,3.69,0,0,0,0.27
