stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0.85,0.28,2.25,0,0,0,0.28,9.86,2.25,0,3.1,0,0,0.85,0,0,0,0,0
21Day,2.22,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0.74,0,7.77,0,0,0.37,0,2.22,3.33,0,2.22,0,0,0.74,0.37,0.37,0,0,0
3Month,0,1.25,1.35,0.1,0,0.31,0,0.1,0,0.62,0.1,0.21,0.1,0.62,0.1,1.66,0.31,0,0,0,0.31,0.1,0.1,0,0.1,0.42,0,0,0,0.31,0.1,0.31
22Month,0,0.27,0,0.14,0,0.14,0.14,0.14,0.14,2.19,0.14,0,0,0,0.14,0.27,0,0.27,0.14,0,0,0,0,0,0,0.27,0,0,0,0,0,0.14
