stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0,1.13,0,0,0,0.28,0.56,0,0,0
21Day,0,0.37,0,0,0,0,0,0.37,0,0,1.48,0,0.37,0,0,0,0,0.37,0.74,0,0,0,0
3Month,0,1.66,0,0,0.21,2.08,0.52,0,0.31,0.21,0.52,0.21,0,0.1,0,0.1,0,1.56,0,0,0.21,0.1,0.52
22Month,0.14,0.14,0.14,0,0.55,0,0.14,0,0,0,0.41,0.14,0,0,0,0,0.14,0,0,0,0,0,0
